Distance_Run#9_(cm), Pressure_Run#9_(atm), Mass_density_Run#9_(g/cm3), Axial_velocity_Run#9_(cm/sec), Cross-section_area_Run#9_(cm2), Net_heat_production_from_gas-phase_reactions_Run#9_(erg/cm3-sec), EINO_Run#9_(g-NO/kg-fuel), EINO2_Run#9_(g-NO2/kg-fuel), EINOX_Run#9_(g-NOx/kg-fuel), EICO_Run#9_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#9_(), Temperature_Run#9_(K), Mole_fraction_H2_Run#9_(), Mole_fraction_H_Run#9_(), Mole_fraction_O_Run#9_(), Mole_fraction_O2_Run#9_(), Mole_fraction_OH_Run#9_(), Mole_fraction_H2O_Run#9_(), Mole_fraction_HO2_Run#9_(), Mole_fraction_H2O2_Run#9_(), Mole_fraction_CO_Run#9_(), Mole_fraction_CO2_Run#9_(), Mole_fraction_HCO_Run#9_(), Mole_fraction_CH2O_Run#9_(), Mole_fraction_N_Run#9_(), Mole_fraction_NH_Run#9_(), Mole_fraction_NNH_Run#9_(), Mole_fraction_NO_Run#9_(), Mole_fraction_N2O_Run#9_(), Mole_fraction_N2_Run#9_(), Flow_rate_Run#9_(g/cm2-sec), Molecular_weight_Run#9_(g/mole)
4.978859e+000, 9.999997e-001, 5.819963e-004, 2.055030e+002, 1.000000e+000, 4.329290e+010, 1.052067e-006, 4.311910e-003, 4.313523e-003, 2.437629e-005, 9.565545e-001, 5.622463e+002, 6.471496e-002, 6.169273e-004, 5.986354e-005, 1.202434e-001, 4.712311e-004, 1.064387e-002, 2.724601e-004, 1.239288e-004, 3.014327e-001, 1.055329e-002, 3.966647e-007, 1.215130e-007, 3.203192e-011, 7.801411e-012, 1.411666e-011, 5.595858e-008, 4.995212e-010, 4.908668e-001, 1.196020e-001, 2.685127e+001
4.979375e+000, 9.999997e-001, 5.599599e-004, 2.135903e+002, 1.000000e+000, 4.615588e+010, 1.510516e-006, 4.615392e-003, 4.617708e-003, 2.530181e-005, 9.526484e-001, 5.847864e+002, 6.394719e-002, 7.649188e-004, 7.403411e-005, 1.192346e-001, 5.225461e-004, 1.171396e-002, 2.512097e-004, 1.210464e-004, 3.004539e-001, 1.171754e-002, 4.766797e-007, 1.361171e-007, 4.226211e-011, 1.017632e-011, 2.210603e-011, 6.532847e-008, 5.997863e-010, 4.911984e-001, 1.196020e-001, 2.687028e+001
4.979891e+000, 9.999997e-001, 5.394956e-004, 2.216922e+002, 1.000000e+000, 4.853163e+010, 2.103523e-006, 4.944141e-003, 4.947367e-003, 2.621252e-005, 9.486930e-001, 6.073932e+002, 6.316170e-002, 9.314582e-004, 9.110130e-005, 1.181981e-001, 5.685043e-004, 1.281946e-002, 2.313764e-004, 1.174100e-004, 2.994563e-001, 1.289822e-002, 5.621371e-007, 1.502458e-007, 5.589372e-011, 1.336865e-011, 3.337943e-011, 7.588062e-008, 7.168681e-010, 4.915255e-001, 1.196020e-001, 2.688908e+001
4.980406e+000, 9.999997e-001, 5.205220e-004, 2.297731e+002, 1.000000e+000, 5.046275e+010, 2.848870e-006, 5.301623e-003, 5.305991e-003, 2.708503e-005, 9.447075e-001, 6.299680e+002, 6.235765e-002, 1.116147e-003, 1.116961e-004, 1.171391e-001, 6.087357e-004, 1.395643e-002, 2.132039e-004, 1.131106e-004, 2.984461e-001, 1.408851e-002, 6.520014e-007, 1.634595e-007, 7.393690e-011, 1.765267e-011, 4.875208e-011, 8.774810e-008, 8.531044e-010, 4.918484e-001, 1.196020e-001, 2.690765e+001
4.980922e+000, 9.999997e-001, 5.029426e-004, 2.378045e+002, 1.000000e+000, 5.200024e+010, 3.762117e-006, 5.690873e-003, 5.696641e-003, 2.789491e-005, 9.407068e-001, 6.524311e+002, 6.153494e-002, 1.318437e-003, 1.365714e-004, 1.160614e-001, 6.432833e-004, 1.512113e-002, 1.967361e-004, 1.082464e-004, 2.974277e-001, 1.528323e-002, 7.452684e-007, 1.753433e-007, 9.763010e-011, 2.337309e-011, 6.908552e-011, 1.010746e-007, 1.011111e-009, 4.921673e-001, 1.196020e-001, 2.692596e+001
4.981437e+000, 9.999997e-001, 4.866544e-004, 2.457637e+002, 1.000000e+000, 5.319693e+010, 4.856297e-006, 6.114599e-003, 6.122045e-003, 2.861804e-005, 9.367013e-001, 6.747193e+002, 6.069402e-002, 1.537689e-003, 1.666013e-004, 1.149678e-001, 6.724907e-004, 1.631011e-002, 1.819020e-004, 1.029197e-004, 2.964042e-001, 1.647874e-002, 8.409783e-007, 1.855286e-007, 1.284686e-010, 3.095883e-011, 9.526668e-011, 1.160145e-007, 1.193810e-009, 4.924824e-001, 1.196020e-001, 2.694399e+001
4.982469e+000, 9.999997e-001, 4.575096e-004, 2.614196e+002, 1.000000e+000, 5.475852e+010, 7.626871e-006, 7.064100e-003, 7.075794e-003, 2.975513e-005, 9.286932e-001, 7.186383e+002, 5.896059e-002, 2.024793e-003, 2.449520e-004, 1.127381e-001, 7.166669e-004, 1.875153e-002, 1.566884e-004, 9.119914e-005, 2.943470e-001, 1.886595e-002, 1.036637e-006, 1.999663e-007, 2.167051e-010, 5.324740e-011, 1.687658e-010, 1.511831e-007, 1.642078e-009, 4.931011e-001, 1.196020e-001, 2.697917e+001
4.983500e+000, 9.999997e-001, 4.323218e-004, 2.766503e+002, 1.000000e+000, 5.547521e+010, 1.120276e-005, 8.155658e-003, 8.172834e-003, 3.031875e-005, 9.207050e-001, 7.614640e+002, 5.716866e-002, 2.571063e-003, 3.552663e-004, 1.104594e-001, 7.469982e-004, 2.125346e-002, 1.362418e-004, 7.888538e-005, 2.922800e-001, 2.124328e-002, 1.232197e-006, 2.056793e-007, 3.554432e-010, 8.956821e-011, 2.760096e-010, 1.943420e-007, 2.220225e-009, 4.937051e-001, 1.196020e-001, 2.701311e+001
4.984531e+000, 9.999997e-001, 4.104181e-004, 2.914150e+002, 1.000000e+000, 5.562294e+010, 1.558414e-005, 9.403540e-003, 9.427434e-003, 3.023042e-005, 9.127196e-001, 8.030720e+002, 5.532803e-002, 3.171420e-003, 5.066648e-004, 1.081272e-001, 7.688670e-004, 2.380048e-002, 1.195612e-004, 6.664750e-005, 2.901969e-001, 2.361723e-002, 1.422532e-006, 2.027890e-007, 5.651443e-010, 1.460581e-010, 4.231336e-010, 2.469417e-007, 2.958926e-009, 4.942951e-001, 1.196020e-001, 2.704576e+001
4.985562e+000, 9.999997e-001, 3.912403e-004, 3.056996e+002, 1.000000e+000, 5.539834e+010, 2.073269e-005, 1.081978e-002, 1.085157e-002, 2.947839e-005, 9.047021e-001, 8.434136e+002, 5.344826e-002, 3.821196e-003, 7.082153e-004, 1.057316e-001, 7.873255e-004, 2.638124e-002, 1.058017e-004, 5.502792e-005, 2.880860e-001, 2.600103e-002, 1.603273e-006, 1.925779e-007, 8.696533e-010, 2.298415e-010, 6.153471e-010, 3.105928e-007, 3.893569e-009, 4.948722e-001, 1.196020e-001, 2.707710e+001
