Distance_Run#1_(cm), Pressure_Run#1_(atm), Mass_density_Run#1_(g/cm3), Axial_velocity_Run#1_(cm/sec), Cross-section_area_Run#1_(cm2), Net_heat_production_from_gas-phase_reactions_Run#1_(erg/cm3-sec), EINO_Run#1_(g-NO/kg-fuel), EINO2_Run#1_(g-NO2/kg-fuel), EINOX_Run#1_(g-NOx/kg-fuel), EICO_Run#1_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#1_(), Temperature_Run#1_(K), Mole_fraction_H2_Run#1_(), Mole_fraction_H_Run#1_(), Mole_fraction_O_Run#1_(), Mole_fraction_O2_Run#1_(), Mole_fraction_OH_Run#1_(), Mole_fraction_H2O_Run#1_(), Mole_fraction_HO2_Run#1_(), Mole_fraction_H2O2_Run#1_(), Mole_fraction_CO_Run#1_(), Mole_fraction_CO2_Run#1_(), Mole_fraction_HCO_Run#1_(), Mole_fraction_CH2O_Run#1_(), Mole_fraction_NO_Run#1_(), Mole_fraction_NO2_Run#1_(), Mole_fraction_N2O_Run#1_(), Mole_fraction_N2_Run#1_(), Flow_rate_Run#1_(g/cm2-sec), Molecular_weight_Run#1_(g/mole)
4.967000e+000, 9.999997e-001, 8.275673e-004, 6.760698e+001, 1.000000e+000, 3.086129e+008, 5.546342e-010, 8.438851e-003, 8.438852e-003, 3.247482e-007, 9.653519e-001, 4.088453e+002, 3.416842e-002, 1.380742e-006, 1.616239e-006, 1.587250e-001, 3.046814e-006, 4.865002e-003, 1.504057e-004, 7.899471e-005, 1.892382e-001, 3.391520e-003, 4.796002e-010, 2.529453e-009, 5.420069e-008, 5.611864e-008, 1.839687e-009, 6.093763e-001, 5.594933e-002, 2.776390e+001
4.967516e+000, 9.999997e-001, 8.105795e-004, 6.902386e+001, 1.000000e+000, 4.346921e+008, 9.549904e-010, 9.077154e-003, 9.077156e-003, 3.284067e-007, 9.629324e-001, 4.176036e+002, 3.373061e-002, 2.111652e-006, 2.004963e-006, 1.584431e-001, 4.502329e-006, 5.234363e-003, 1.656789e-004, 8.248061e-005, 1.888762e-001, 3.766785e-003, 7.304885e-010, 2.812149e-009, 6.239997e-008, 5.785258e-008, 2.047168e-009, 6.096920e-001, 5.594933e-002, 2.777653e+001
4.968031e+000, 9.999997e-001, 7.932448e-004, 7.053223e+001, 1.000000e+000, 6.038831e+008, 1.617582e-009, 9.759006e-003, 9.759008e-003, 3.318513e-007, 9.603378e-001, 4.269247e+002, 3.329734e-002, 3.167905e-006, 2.495377e-006, 1.581302e-001, 6.551032e-006, 5.626389e-003, 1.813198e-004, 8.572026e-005, 1.884792e-001, 4.177761e-003, 1.090118e-009, 3.122483e-009, 7.181597e-008, 5.906956e-008, 2.275530e-009, 6.100097e-001, 5.594933e-002, 2.778924e+001
4.968547e+000, 9.999997e-001, 7.756375e-004, 7.213334e+001, 1.000000e+000, 8.263736e+008, 2.694217e-009, 1.048057e-002, 1.048058e-002, 3.350716e-007, 9.575621e-001, 4.368174e+002, 3.286871e-002, 4.665110e-006, 3.113565e-006, 1.577852e-001, 9.377136e-006, 6.041439e-003, 1.969197e-004, 8.864939e-005, 1.880461e-001, 4.626172e-003, 1.594871e-009, 3.461933e-009, 8.256143e-008, 5.967701e-008, 2.526217e-009, 6.103295e-001, 5.594933e-002, 2.780205e+001
4.969062e+000, 9.999997e-001, 7.578370e-004, 7.382765e+001, 1.000000e+000, 1.112535e+009, 4.412632e-009, 1.123594e-002, 1.123595e-002, 3.381104e-007, 9.546005e-001, 4.472853e+002, 3.244472e-002, 6.746186e-006, 3.891271e-006, 1.574077e-001, 1.319134e-005, 6.479726e-003, 2.119982e-004, 9.120883e-005, 1.875759e-001, 5.113506e-003, 2.288266e-009, 3.831740e-009, 9.473306e-008, 5.959999e-008, 2.800702e-009, 6.106513e-001, 5.594933e-002, 2.781496e+001
4.969578e+000, 9.999997e-001, 7.399265e-004, 7.561471e+001, 1.000000e+000, 1.471980e+009, 7.102967e-009, 1.201715e-002, 1.201716e-002, 3.409930e-007, 9.514491e-001, 4.583268e+002, 3.202521e-002, 9.583282e-006, 4.866655e-006, 1.569972e-001, 1.822129e-005, 6.941302e-003, 2.260320e-004, 9.334826e-005, 1.870679e-001, 5.640953e-003, 3.220669e-009, 4.232808e-009, 1.084033e-007, 5.879087e-008, 3.100481e-009, 6.109753e-001, 5.594933e-002, 2.782800e+001
4.970094e+000, 9.999997e-001, 7.219915e-004, 7.749305e+001, 1.000000e+000, 1.912397e+009, 1.123577e-008, 1.281441e-002, 1.281443e-002, 3.437602e-007, 9.481061e-001, 4.699343e+002, 3.160992e-002, 1.337839e-005, 6.084992e-006, 1.565537e-001, 2.469643e-005, 7.426034e-003, 2.384943e-004, 9.502949e-005, 1.865216e-001, 6.209352e-003, 4.448235e-009, 4.665578e-009, 1.236131e-007, 5.723793e-008, 3.427074e-009, 6.113016e-001, 5.594933e-002, 2.784116e+001
4.971125e+000, 9.999997e-001, 6.864039e-004, 8.151079e+001, 1.000000e+000, 3.024197e+009, 2.631447e-008, 1.441201e-002, 1.441205e-002, 3.489276e-007, 9.408530e-001, 4.947733e+002, 3.079026e-002, 2.450800e-005, 9.402145e-006, 1.555702e-001, 4.257247e-005, 8.462728e-003, 2.572941e-004, 9.695821e-005, 1.853162e-001, 7.468224e-003, 7.944201e-009, 5.624228e-009, 1.586073e-007, 5.201704e-008, 4.163994e-009, 6.119614e-001, 5.594933e-002, 2.786789e+001
4.972156e+000, 9.999997e-001, 6.517873e-004, 8.583986e+001, 1.000000e+000, 4.457486e+009, 5.759371e-008, 1.593684e-002, 1.593693e-002, 3.538044e-007, 9.328828e-001, 5.215614e+002, 2.998031e-002, 4.236816e-005, 1.437896e-005, 1.544661e-001, 6.809060e-005, 9.582955e-003, 2.659632e-004, 9.702589e-005, 1.839680e-001, 8.882590e-003, 1.331457e-008, 6.694735e-009, 1.992174e-007, 4.470931e-008, 5.020504e-009, 6.126319e-001, 5.594933e-002, 2.789520e+001
4.973187e+000, 9.999997e-001, 6.186653e-004, 9.043553e+001, 1.000000e+000, 6.130186e+009, 1.174148e-007, 1.732789e-002, 1.732807e-002, 3.583288e-007, 9.242418e-001, 5.500343e+002, 2.917531e-002, 6.919696e-005, 2.167111e-005, 1.532495e-001, 1.012644e-004, 1.077942e-002, 2.643521e-004, 9.541230e-005, 1.824864e-001, 1.044378e-002, 2.098096e-008, 7.856684e-009, 2.447376e-007, 3.641353e-008, 6.008796e-009, 6.133134e-001, 5.594933e-002, 2.792310e+001
4.974219e+000, 9.999997e-001, 5.874316e-004, 9.524399e+001, 1.000000e+000, 7.915843e+009, 2.231791e-007, 1.855964e-002, 1.855999e-002, 3.623351e-007, 9.149976e-001, 5.798704e+002, 2.837065e-002, 1.071873e-004, 3.211754e-005, 1.519308e-001, 1.407744e-004, 1.204304e-002, 2.542637e-004, 9.239995e-005, 1.808845e-001, 1.213791e-002, 3.123189e-008, 9.077358e-009, 2.944213e-007, 2.830245e-008, 7.141950e-009, 6.140060e-001, 5.594933e-002, 2.795158e+001
4.975250e+000, 9.999997e-001, 5.583309e-004, 1.002082e+002, 1.000000e+000, 9.683864e+009, 3.967697e-007, 1.964504e-002, 1.964565e-002, 3.653751e-007, 9.052298e-001, 6.107270e+002, 2.756253e-002, 1.582206e-004, 4.679091e-005, 1.505222e-001, 1.843245e-004, 1.336384e-002, 2.385359e-004, 8.828987e-005, 1.791777e-001, 1.394801e-002, 4.416829e-008, 1.031260e-008, 3.478113e-007, 2.124991e-008, 8.434171e-009, 6.147091e-001, 5.594933e-002, 2.798059e+001
4.976281e+000, 9.999997e-001, 5.314678e-004, 1.052732e+002, 1.000000e+000, 1.133240e+010, 6.628311e-007, 2.062313e-002, 2.062414e-002, 3.668481e-007, 8.950200e-001, 6.422720e+002, 2.674844e-002, 2.236811e-004, 6.706019e-005, 1.490361e-001, 2.293133e-004, 1.473177e-002, 2.200042e-004, 8.335222e-005, 1.773817e-001, 1.585651e-002, 5.969552e-008, 1.150874e-008, 4.048900e-007, 1.566077e-008, 9.901000e-009, 6.154215e-001, 5.594933e-002, 2.801006e+001
4.977312e+000, 9.999997e-001, 5.068338e-004, 1.103899e+002, 1.000000e+000, 1.280050e+010, 1.046315e-006, 2.154156e-002, 2.154316e-002, 3.661264e-007, 8.844433e-001, 6.742063e+002, 2.592724e-002, 3.043870e-004, 9.464969e-005, 1.474841e-001, 2.734654e-004, 1.613715e-002, 2.008536e-004, 7.781303e-005, 1.755106e-001, 1.784718e-002, 7.755534e-008, 1.260593e-008, 4.660267e-007, 1.152994e-008, 1.155947e-008, 6.161419e-001, 5.594933e-002, 2.803990e+001
