Distance_Run#5_(cm), Pressure_Run#5_(atm), Mass_density_Run#5_(g/cm3), Axial_velocity_Run#5_(cm/sec), Cross-section_area_Run#5_(cm2), Net_heat_production_from_gas-phase_reactions_Run#5_(erg/cm3-sec), EINO_Run#5_(g-NO/kg-fuel), EINO2_Run#5_(g-NO2/kg-fuel), EINOX_Run#5_(g-NOx/kg-fuel), EICO_Run#5_(g-CO/kg-fuel), Unburned_fuel_fraction_Run#5_(), Temperature_Run#5_(K), Mole_fraction_H2_Run#5_(), Mole_fraction_H_Run#5_(), Mole_fraction_O_Run#5_(), Mole_fraction_O2_Run#5_(), Mole_fraction_OH_Run#5_(), Mole_fraction_H2O_Run#5_(), Mole_fraction_HO2_Run#5_(), Mole_fraction_H2O2_Run#5_(), Mole_fraction_CO_Run#5_(), Mole_fraction_CO2_Run#5_(), Mole_fraction_HCO_Run#5_(), Mole_fraction_CH2O_Run#5_(), Mole_fraction_N_Run#5_(), Mole_fraction_NH_Run#5_(), Mole_fraction_NNH_Run#5_(), Mole_fraction_NO_Run#5_(), Mole_fraction_NO2_Run#5_(), Mole_fraction_N2O_Run#5_(), Mole_fraction_N2_Run#5_(), Flow_rate_Run#5_(g/cm2-sec), Molecular_weight_Run#5_(g/mole)
4.970094e+000, 9.999997e-001, 8.395086e-004, 1.136897e+002, 1.000000e+000, 3.033528e+009, 4.212415e-009, 4.204230e-003, 4.204236e-003, 4.518221e-006, 9.794768e-001, 3.944330e+002, 5.420535e-002, 1.280064e-005, 3.884772e-006, 1.413098e-001, 2.275692e-005, 3.868221e-003, 2.666808e-004, 9.822947e-005, 2.556312e-001, 2.652248e-003, 7.035867e-009, 1.038138e-008, 4.266188e-012, 1.247430e-012, 2.210944e-014, 2.134231e-008, 1.007588e-008, 2.659559e-010, 5.419288e-001, 9.544345e-002, 2.717168e+001
4.970609e+000, 9.999997e-001, 8.133999e-004, 1.173389e+002, 1.000000e+000, 4.402192e+009, 8.008607e-009, 4.638498e-003, 4.638511e-003, 4.649470e-006, 9.770967e-001, 4.073836e+002, 5.350472e-002, 2.025167e-005, 5.206756e-006, 1.409049e-001, 3.488597e-005, 4.395366e-003, 2.927587e-004, 1.040314e-004, 2.552354e-001, 3.165361e-003, 1.108958e-008, 1.249905e-008, 5.022188e-012, 1.662569e-012, 4.694241e-014, 2.629627e-008, 1.018722e-008, 3.211125e-010, 5.423370e-001, 9.544345e-002, 2.719103e+001
4.971125e+000, 9.999997e-001, 7.866252e-004, 1.213328e+002, 1.000000e+000, 6.169112e+009, 1.489000e-008, 5.087706e-003, 5.087729e-003, 4.775456e-006, 9.744518e-001, 4.215455e+002, 5.282285e-002, 3.114588e-005, 6.964876e-006, 1.404349e-001, 5.169216e-005, 4.975456e-003, 3.141609e-004, 1.088856e-004, 2.547645e-001, 3.752502e-003, 1.694258e-008, 1.497007e-008, 5.925000e-012, 2.167710e-012, 9.742502e-014, 3.219632e-008, 1.001856e-008, 3.861843e-010, 5.427369e-001, 9.544345e-002, 2.721011e+001
4.972156e+000, 9.999997e-001, 7.325178e-004, 1.302951e+002, 1.000000e+000, 1.070345e+010, 4.651522e-008, 5.987062e-003, 5.987133e-003, 5.015134e-006, 9.683761e-001, 4.533066e+002, 5.150767e-002, 6.639121e-005, 1.210252e-005, 1.393041e-001, 1.013336e-004, 6.290022e-003, 3.380651e-004, 1.154543e-004, 2.536010e-001, 5.149448e-003, 3.532850e-008, 2.102517e-008, 8.285863e-012, 3.464904e-012, 3.772447e-013, 4.696238e-008, 8.864298e-009, 5.492857e-010, 5.435143e-001, 9.544345e-002, 2.724760e+001
4.973187e+000, 9.999997e-001, 6.801269e-004, 1.403318e+002, 1.000000e+000, 1.631547e+010, 1.301075e-007, 6.844104e-003, 6.844303e-003, 5.254846e-006, 9.613643e-001, 4.888860e+002, 5.022873e-002, 1.286553e-004, 2.030293e-005, 1.379452e-001, 1.736733e-004, 7.790965e-003, 3.350228e-004, 1.181153e-004, 2.521757e-001, 6.813531e-003, 6.613871e-008, 2.855262e-008, 1.184004e-011, 5.209096e-012, 1.290897e-012, 6.567712e-008, 7.020340e-009, 7.636204e-010, 5.442700e-001, 9.544345e-002, 2.728448e+001
4.973703e+000, 9.999997e-001, 6.552410e-004, 1.456616e+002, 1.000000e+000, 1.930726e+010, 2.084138e-007, 7.257236e-003, 7.257556e-003, 5.379470e-006, 9.575563e-001, 5.077938e+002, 4.959332e-002, 1.734452e-004, 2.600673e-005, 1.371891e-001, 2.165093e-004, 8.604449e-003, 3.257446e-004, 1.181946e-004, 2.513789e-001, 7.732436e-003, 8.726454e-008, 3.282389e-008, 1.438468e-011, 6.324090e-012, 2.273163e-012, 7.655678e-008, 6.050600e-009, 8.947515e-010, 5.446417e-001, 9.544345e-002, 2.730276e+001
4.974219e+000, 9.999997e-001, 6.313810e-004, 1.511662e+002, 1.000000e+000, 2.223404e+010, 3.231443e-007, 7.664504e-003, 7.664999e-003, 5.507057e-006, 9.535614e-001, 5.273349e+002, 4.895767e-002, 2.284021e-004, 3.300322e-005, 1.363843e-001, 2.623780e-004, 9.458020e-003, 3.124022e-004, 1.174803e-004, 2.505303e-001, 8.705624e-003, 1.122393e-007, 3.740025e-008, 1.762112e-011, 7.654983e-012, 3.858833e-012, 8.852214e-008, 5.119004e-009, 1.044721e-009, 5.450102e-001, 9.544345e-002, 2.732097e+001
4.974734e+000, 9.999997e-001, 6.086683e-004, 1.568070e+002, 1.000000e+000, 2.500284e+010, 4.855301e-007, 8.070404e-003, 8.071149e-003, 5.636286e-006, 9.494053e-001, 5.473762e+002, 4.831867e-002, 2.943510e-004, 4.151986e-005, 1.355360e-001, 3.096605e-004, 1.034828e-002, 2.964246e-004, 1.160516e-004, 2.496371e-001, 9.725632e-003, 1.410147e-007, 4.220915e-008, 2.175540e-011, 9.271648e-012, 6.321072e-012, 1.016198e-007, 4.275585e-009, 1.215579e-009, 5.453759e-001, 9.544345e-002, 2.733913e+001
4.975250e+000, 9.999997e-001, 5.871713e-004, 1.625479e+002, 1.000000e+000, 2.754938e+010, 7.078710e-007, 8.480807e-003, 8.481892e-003, 5.765091e-006, 9.451134e-001, 5.677921e+002, 4.767381e-002, 3.718809e-004, 5.183398e-005, 1.346496e-001, 3.568263e-004, 1.127187e-002, 2.790817e-004, 1.139794e-004, 2.487062e-001, 1.078495e-002, 1.734239e-007, 4.715966e-008, 2.705074e-011, 1.127196e-011, 1.000408e-011, 1.159227e-007, 3.547301e-009, 1.409560e-009, 5.457396e-001, 9.544345e-002, 2.735724e+001
4.975766e+000, 9.999997e-001, 5.669146e-004, 1.683560e+002, 1.000000e+000, 2.983720e+010, 1.003007e-006, 8.901950e-003, 8.903488e-003, 5.890668e-006, 9.407101e-001, 5.884682e+002, 4.702124e-002, 4.613509e-004, 6.428531e-005, 1.337300e-001, 4.025647e-004, 1.222548e-002, 2.613749e-004, 1.113283e-004, 2.477441e-001, 1.187645e-002, 2.091958e-007, 5.214545e-008, 3.383683e-011, 1.378528e-011, 1.532245e-011, 1.315278e-007, 2.941296e-009, 1.629104e-009, 5.461015e-001, 9.544345e-002, 2.737529e+001
4.976281e+000, 9.999997e-001, 5.478888e-004, 1.742022e+002, 1.000000e+000, 3.185266e+010, 1.383735e-006, 9.339729e-003, 9.341851e-003, 6.009732e-006, 9.362170e-001, 6.093032e+002, 4.635972e-002, 5.629122e-004, 7.928724e-005, 1.327818e-001, 4.458609e-004, 1.320595e-002, 2.440159e-004, 1.081591e-004, 2.467565e-001, 1.299371e-002, 2.479864e-007, 5.704911e-008, 4.252455e-011, 1.698102e-011, 2.275550e-011, 1.485512e-007, 2.450769e-009, 1.876871e-009, 5.464617e-001, 9.544345e-002, 2.739328e+001
